parking_index,row,col,theta_true
0,0,2,0.7645861775008249
1,0,3,0.5303647287410461
2,0,11,0.7529708113174274
3,0,13,0.4019353774073243
4,0,20,0.6585918627905961
5,0,21,0.6582352749906407
6,1,2,0.5307673884627666
7,1,18,0.30427323123649463
8,1,23,0.43172257739616504
9,1,29,0.37451007094353606
10,2,2,0.7801271715590508
11,2,9,0.5867734765852766
12,2,28,0.7454227020571951
13,3,2,0.3776958617806324
14,3,6,0.4573640351514731
15,3,18,0.5404233954191378
16,3,21,0.41283691003418566
17,3,23,0.4738997762923693
18,3,27,0.5595842343206787
19,3,29,0.2169715846103464
20,4,8,0.4038866929383048
21,4,23,0.20013301982617893
22,4,26,0.48952257320100384
23,5,0,0.5648003990482642
24,5,2,0.2557942760394006
25,5,7,0.34525664128687805
26,5,9,0.6823950926354083
27,5,16,0.7041689359097587
28,5,23,0.4326399525622188
29,6,2,0.6885342383247361
30,6,5,0.36628415181928564
31,6,10,0.623664933388089
32,6,13,0.5272739741942687
33,6,16,0.4640594473415975
34,6,21,0.5938653657042661
35,6,23,0.20803440745831397
36,6,27,0.2974660656250132
37,7,2,0.3762940786327739
38,7,4,0.6083375658617589
39,7,11,0.6237411880168247
40,7,12,0.6084564945116161
41,7,13,0.6605702639382456
42,7,17,0.2477309366082408
43,7,24,0.26353334504921283
44,8,8,0.7132106961572684
45,8,17,0.4141026517766807
46,8,23,0.5410227742901059
47,8,27,0.5021016834400486
48,8,29,0.5759975428025748
49,9,2,0.24616802673677138
50,9,16,0.6618741358198488
51,9,19,0.2740413968978922
52,9,21,0.6088246771004211
53,9,26,0.4412852594904265
54,10,2,0.4953569816372831
55,10,23,0.6030162406164468
56,11,3,0.4226016504173821
57,11,8,0.22762248281088332
58,11,10,0.7785269310329634
59,11,15,0.5136061396447495
60,11,21,0.6452867846365167
61,11,24,0.5187769002345035
62,12,4,0.6918121416019835
63,12,5,0.5387697074526356
64,12,7,0.2736541270323176
65,12,9,0.5851439387934833
66,12,16,0.3036444016621906
67,12,20,0.6941924810099767
68,12,21,0.6086369602836893
69,12,23,0.7638851828858646
70,13,5,0.5774484737249064
71,13,7,0.33509785847286266
72,13,12,0.5342825274951699
73,13,13,0.6630633661759383
74,14,8,0.6271329785150459
75,14,21,0.4053780236008911
76,15,8,0.5932106903622826
77,15,11,0.7611614367806447
78,15,20,0.6108860258597213
79,15,21,0.4203808413514813
80,15,23,0.7464549982300572
81,15,24,0.6965745156369036
82,16,20,0.7131102561603007
83,16,23,0.264104826015981
84,16,24,0.37449730018441285
85,17,9,0.6740766815961214
86,17,13,0.36488449753081054
87,17,23,0.24422356133471368
88,17,24,0.6099596074835516
89,18,5,0.6795619738874235
90,18,6,0.5850606848842188
91,18,22,0.40690600185500275
92,18,23,0.5358639913805292
93,18,24,0.21291197086847627
94,18,25,0.537596993451835
95,18,29,0.714080704829047
96,19,5,0.24683194100874206
97,19,12,0.4299916379286992
98,19,18,0.298918230515892
99,20,0,0.428004737979954
100,20,6,0.20780460402493117
101,20,8,0.6966577518986873
102,20,9,0.4977459862047608
103,20,12,0.4615508393373673
104,20,17,0.5610768293818709
105,20,18,0.7100169225529402
106,20,22,0.3747564348946326
107,21,2,0.36051018344316776
108,21,8,0.22969652462729706
109,21,10,0.35983945623997454
110,21,11,0.23972710892285776
111,21,17,0.2249350923043324
112,21,23,0.5316383373262203
113,21,26,0.31030093244213275
114,21,27,0.24455463323925283
115,22,1,0.7500288448480041
116,22,4,0.289240335482374
117,22,7,0.25689847443438074
118,22,8,0.7824068349963218
119,22,13,0.6001801783409817
120,22,14,0.6354524250018987
121,22,15,0.5379223974921175
122,22,17,0.24223382847210756
123,22,21,0.7051263442475268
124,22,24,0.4508174025231547
125,22,25,0.4354806946257043
126,23,5,0.2811855464026336
127,23,11,0.2679319314987683
128,23,15,0.5133475597461792
129,23,17,0.5412461537414677
130,23,29,0.5112113256476476
131,24,0,0.5678748067725287
132,24,7,0.7265860778524642
133,24,18,0.5025229069667323
134,24,20,0.42748860721992116
135,24,23,0.35394362154825665
136,24,24,0.3841079854729549
137,24,27,0.5364842320154206
138,25,4,0.6772234046998185
139,25,16,0.4646726179592238
140,25,27,0.22445739638516865
141,25,28,0.3128927022456621
142,26,1,0.25439134005497527
143,26,12,0.400006048417867
144,26,25,0.6106259948425656
145,27,3,0.554428839142922
146,27,16,0.5972765539749445
147,27,17,0.4727570785522755
148,27,23,0.26586832217066425
149,27,26,0.3777535730236058
150,28,4,0.5065762873528702
151,28,10,0.4982989790435922
152,28,15,0.34619683272976365
153,29,3,0.6951809349001152
154,29,21,0.4599880015922241
