parking_index,theta_true
0,0.7645861775008249
1,0.5303647287410461
2,0.7529708113174274
3,0.4019353774073243
4,0.6585918627905961
5,0.6582352749906407
6,0.5307673884627666
7,0.30427323123649463
8,0.43172257739616504
9,0.37451007094353606
10,0.7801271715590508
11,0.5867734765852766
12,0.7454227020571951
13,0.3776958617806324
14,0.4573640351514731
15,0.5404233954191378
16,0.41283691003418566
17,0.4738997762923693
18,0.5595842343206787
19,0.2169715846103464
20,0.4038866929383048
21,0.20013301982617893
22,0.48952257320100384
23,0.5648003990482642
24,0.2557942760394006
25,0.34525664128687805
26,0.6823950926354083
27,0.7041689359097587
28,0.4326399525622188
29,0.6885342383247361
30,0.36628415181928564
31,0.623664933388089
32,0.5272739741942687
33,0.4640594473415975
34,0.5938653657042661
35,0.20803440745831397
36,0.2974660656250132
37,0.3762940786327739
38,0.6083375658617589
39,0.6237411880168247
40,0.6084564945116161
41,0.6605702639382456
42,0.2477309366082408
43,0.26353334504921283
44,0.7132106961572684
45,0.4141026517766807
46,0.5410227742901059
47,0.5021016834400486
48,0.5759975428025748
49,0.24616802673677138
50,0.6618741358198488
51,0.2740413968978922
52,0.6088246771004211
53,0.4412852594904265
54,0.4953569816372831
55,0.6030162406164468
56,0.4226016504173821
57,0.22762248281088332
58,0.7785269310329634
59,0.5136061396447495
60,0.6452867846365167
61,0.5187769002345035
62,0.6918121416019835
63,0.5387697074526356
64,0.2736541270323176
65,0.5851439387934833
66,0.3036444016621906
67,0.6941924810099767
68,0.6086369602836893
69,0.7638851828858646
70,0.5774484737249064
71,0.33509785847286266
72,0.5342825274951699
73,0.6630633661759383
74,0.6271329785150459
75,0.4053780236008911
76,0.5932106903622826
77,0.7611614367806447
78,0.6108860258597213
79,0.4203808413514813
80,0.7464549982300572
81,0.6965745156369036
82,0.7131102561603007
83,0.264104826015981
84,0.37449730018441285
85,0.6740766815961214
86,0.36488449753081054
87,0.24422356133471368
88,0.6099596074835516
89,0.6795619738874235
90,0.5850606848842188
91,0.40690600185500275
92,0.5358639913805292
93,0.21291197086847627
94,0.537596993451835
95,0.714080704829047
96,0.24683194100874206
97,0.4299916379286992
98,0.298918230515892
99,0.428004737979954
100,0.20780460402493117
101,0.6966577518986873
102,0.4977459862047608
103,0.4615508393373673
104,0.5610768293818709
105,0.7100169225529402
106,0.3747564348946326
107,0.36051018344316776
108,0.22969652462729706
109,0.35983945623997454
110,0.23972710892285776
111,0.2249350923043324
112,0.5316383373262203
113,0.31030093244213275
114,0.24455463323925283
115,0.7500288448480041
116,0.289240335482374
117,0.25689847443438074
118,0.7824068349963218
119,0.6001801783409817
120,0.6354524250018987
121,0.5379223974921175
122,0.24223382847210756
123,0.7051263442475268
124,0.4508174025231547
125,0.4354806946257043
126,0.2811855464026336
127,0.2679319314987683
128,0.5133475597461792
129,0.5412461537414677
130,0.5112113256476476
131,0.5678748067725287
132,0.7265860778524642
133,0.5025229069667323
134,0.42748860721992116
135,0.35394362154825665
136,0.3841079854729549
137,0.5364842320154206
138,0.6772234046998185
139,0.4646726179592238
140,0.22445739638516865
141,0.3128927022456621
142,0.25439134005497527
143,0.400006048417867
144,0.6106259948425656
145,0.554428839142922
146,0.5972765539749445
147,0.4727570785522755
148,0.26586832217066425
149,0.3777535730236058
150,0.5065762873528702
151,0.4982989790435922
152,0.34619683272976365
153,0.6951809349001152
154,0.4599880015922241
